"Variable","Time","Value","Flags"
"Females 65 and over","1993",585015,
"Females Total","1993",3024329,
"Males 65 and over","1993",328877,
"Males Total","1993",2898349,
"Average population","1993",5945003.5,
"Total 0-14","1993",896412,
"Total 15-64","1993",4112374,
"Females 0-14","1993",436260,
"Females 15-64","1993",2003054,
"Males 0-14","1993",460152,
"Males 15-64","1993",2109320,
"Total 65 and over","1994",926392,
"Total population","1994",5967329,
"Females 65 and over","1994",587727,
"Females Total","1994",3043962,
"Males 65 and over","1994",338665,
"Males Total","1994",2923367,
"Average population","1994",5974011,
"Total 0-14","1994",912260,
"Total 15-64","1994",4128677,
"Females 0-14","1994",443988,
"Females 15-64","1994",2012247,
"Males 0-14","1994",468272,
"Males 15-64","1994",2116430,
"Total 65 and over","1995",937634,
"Total population","1995",5980693,
"Females 65 and over","1995",590131,
"Females Total","1995",3053424,
"Males 65 and over","1995",347503,
"Males Total","1995",2927269,
"Average population","1995",5995303,
"Total 0-14","1995",922163,
"Total 15-64","1995",4120896,
"Females 0-14","1995",448807,
"Females 15-64","1995",2014486,
"Males 0-14","1995",473356,
"Males 15-64","1995",2106410,
"Total 65 and over","1996",949036,
"Total population","1996",6009913,
"Females 65 and over","1996",593029,
"Females Total","1996",3067830,
"Males 65 and over","1996",356007,
"Males Total","1996",2942083,
"Average population","1996",6018598.5,
"Total 0-14","1996",929797,
"Total 15-64","1996",4131080,
"Females 0-14","1996",452408,
"Females 15-64","1996",2022393,
"Males 0-14","1996",477389,
"Males 15-64","1996",2108687,
"Total 65 and over","1997",955212,
"Total population","1997",6027284,
"Females 65 and over","1997",592610,
"Females Total","1997",3077516,
"Males 65 and over","1997",362602,
"Males Total","1997",2949768,
"Average population","1997",6029494.5,
"Total 0-14","1997",936007,
"Total 15-64","1997",4136065,
"Females 0-14","1997",455664,
"Females 15-64","1997",2029242,
"Males 0-14","1997",480343,
"Males 15-64","1997",2106823,
"Total 65 and over","1998",960477,
"Total population","1998",6031705,
"Females 65 and over","1998",592077,
"Females Total","1998",3080066,
"Males 65 and over","1998",368400,
"Males Total","1998",2951639,
"Average population","1998",6033421,
"Total 0-14","1998",938115,
"Total 15-64","1998",4133113,
"Females 0-14","1998",456636,
"Females 15-64","1998",2031353,
"Males 0-14","1998",481479,
"Males 15-64","1998",2101760,
"Total 65 and over","1999",965219,
"Total population","1999",6035137,
"Females 65 and over","1999",591289,
"Females Total","1999",3080579,
"Males 65 and over","1999",373930,
"Males Total","1999",2954558,
"Average population","1999",6043551.5,
"Total 0-14","1999",937264,
"Total 15-64","1999",4132654,
"Females 0-14","1999",456366,
"Females 15-64","1999",2032924,
"Males 0-14","1999",480898,
"Males 15-64","1999",2099730,
"Total 65 and over","2000",982786,
"Total population","2000",6051966,
"Females 65 and over","2000",596875,
"Females Total","2000",3087227,
"Males 65 and over","2000",385911,
"Males Total","2000",2964739,
"Average population","2000",6058300,
"Total 0-14","2000",938207,
"Total 15-64","2000",4130973,
"Females 0-14","2000",457027,
"Females 15-64","2000",2033325,
"Males 0-14","2000",481180,
"Males 15-64","2000",2097648,
"Total 65 and over","2001",1003969,
"Total population","2001",6068129,
"Females 65 and over","2001",604420,
"Females Total","2001",3094637,
"Males 65 and over","2001",399549,
"Males Total","2001",2973492,
"Average population","2001",6072900,
"Total 0-14","2001",938182,
"Total 15-64","2001",4125978,
"Females 0-14","2001",457332,
"Females 15-64","2001",2032885,
"Males 0-14","2001",480850,
"Males 15-64","2001",2093093,
"Total 65 and over","2002",1026589,
"Total population","2002",6077826,
"Females 65 and over","2002",612850,
"Females Total","2002",3099994,
"Males 65 and over","2002",413739,
"Males Total","2002",2977832,
"Average population","2002",6084900,
"Total 0-14","2002",934425,
"Total 15-64","2002",4116812,
"Females 0-14","2002",455502,
"Females 15-64","2002",2031642,
"Males 0-14","2002",478923,
"Males 15-64","2002",2085170,
"Total 65 and over","2003",1050227,
"Total population","2003",6091618,
"Females 65 and over","2003",621797,
"Females Total","2003",3107053,
"Males 65 and over","2003",428430,
"Males Total","2003",2984565,
"Average population","2003",6090500,
"Total 0-14","2003",927331,
"Total 15-64","2003",4114060,
"Females 0-14","2003",452276,
"Females 15-64","2003",2032980,
"Males 0-14","2003",475055,
"Males 15-64","2003",2081080,
"Total 65 and over","2004",1076396,
"Total population","2004",6089428,
"Females 65 and over","2004",632140,
"Females Total","2004",3107917,
"Males 65 and over","2004",444256,
"Males Total","2004",2981511,
"Average population","2004",6093600,
"Total 0-14","2004",915450,
"Total 15-64","2004",4097582,
"Females 0-14","2004",446696,
"Females 15-64","2004",2029081,
"Males 0-14","2004",468754,
"Males 15-64","2004",2068501,
"Total 65 and over","2005",1111279,
"Total population","2005",6097765,
"Females 65 and over","2005",647208,
"Females Total","2005",3111222,
"Males 65 and over","2005",464071,
"Males Total","2005",2986543,
"Average population","2005",6095100,
"Total 0-14","2005",903676,
"Total 15-64","2005",4082810,
"Females 0-14","2005",440871,
"Females 15-64","2005",2023143,
"Males 0-14","2005",462805,
"Males 15-64","2005",2059667,
"Total 65 and over","2006",1146575,
"Total population","2006",6092354,
"Females 65 and over","2006",662336,
"Females Total","2006",3109204,
"Males 65 and over","2006",484239,
"Males Total","2006",2983150,
"Average population","2006",6083900,
"Total 0-14","2006",888269,
"Total 15-64","2006",4057510,
"Females 0-14","2006",433439,
"Females 15-64","2006",2013429,
"Males 0-14","2006",454830,
"Males 15-64","2006",2044081,
"Total 65 and over","2007",1174315,
"Total population","2007",6075359,
"Females 65 and over","2007",673580,
"Females Total","2007",3102355,
"Males 65 and over","2007",500735,
"Males Total","2007",2973004,
"Average population","2007",6074000,
"Total 0-14","2007",873125,
"Total 15-64","2007",4027919,
"Females 0-14","2007",426043,
"Females 15-64","2007",2002732,
"Males 0-14","2007",447082,
"Males 15-64","2007",2025187,
"Total 65 and over","2008",1187724,
"Total population","2008",6072555,
"Females 65 and over","2008",677910,
"Females Total","2008",3099909,
"Males 65 and over","2008",509814,
"Males Total","2008",2972646,
"Average population","2008",6072555,
"Total 0-14","2008",860356,
"Total 15-64","2008",4024475,
"Females 0-14","2008",419524,
"Females 15-64","2008",2002475,
"Males 0-14","2008",440832,
"Males 15-64","2008",2022000,
"Total 65 and over","2009",1202158,
"Total population","2009",6064953,
"Females 65 and over","2009",682537,
"Females Total","2009",3094506,
"Males 65 and over","2009",519621,
"Males Total","2009",2970447,
"Total 0-14","2009",848803,
"Total 15-64","2009",4013992,
"Females 0-14","2009",413803,
"Females 15-64","2009",1998166,
"Males 0-14","2009",435000,
"Males 15-64","2009",2015826,
"Total 65 and over","1990",192165,
"Total population","1990",1963909,
"Females 65 and over","1990",132017,
"Females Total","1990",1006024,
"Males 65 and over","1990",60148,
"Males Total","1990",957885,
"Average population","1990",1943913.5,
"Total 0-14","1990",429988,
"Total 15-64","1990",1324674,
"Females 0-14","1990",209699,
"Females 15-64","1990",651727,
"Males 0-14","1990",220289,
"Males 15-64","1990",672947,
"Total 65 and over","1991",209067,
"Total population","1991",1923918,
"Females 65 and over","1991",144690,
"Females Total","1991",989048,
"Males 65 and over","1991",64377,
"Males Total","1991",934870,
"Average population","1991",1907801.5,
"Total 0-14","1991",423144,
"Total 15-64","1991",1291707,
"Females 0-14","1991",206363,
"Females 15-64","1991",637995,
"Males 0-14","1991",216781,
"Males 15-64","1991",653712,
"Total 65 and over","1992",209678,
"Total population","1992",1891685,
"Females 65 and over","1992",144891,
"Females Total","1992",970938,
"Males 65 and over","1992",64787,
"Males Total","1992",920747,
"Average population","1992",1878328,
"Total 0-14","1992",406821,
"Total 15-64","1992",1275186,
"Females 0-14","1992",198334,
"Females 15-64","1992",627713,
"Males 0-14","1992",208487,
"Males 15-64","1992",647473,
"Total 65 and over","1993",210654,
"Total population","1993",1864971,
"Females 65 and over","1993",144890,
"Females Total","1993",953870,
"Males 65 and over","1993",65764,
"Males Total","1993",911101,
"Average population","1993",1854222.5,
"Total 0-14","1993",385202,
"Total 15-64","1993",1269115,
"Females 0-14","1993",187669,
"Females 15-64","1993",621311,
"Males 0-14","1993",197533,
"Males 15-64","1993",647804,
"Total 65 and over","1994",214627,
"Total population","1994",1843474,
"Females 65 and over","1994",146366,
"Females Total","1994",941068,
"Males 65 and over","1994",68261,
"Males Total","1994",902406,
"Average population","1994",1837886,
"Total 0-14","1994",363283,
"Total 15-64","1994",1265564,
"Females 0-14","1994",176957,
"Females 15-64","1994",617745,
"Males 0-14","1994",186326,
"Males 15-64","1994",647819,
"Total 65 and over","1995",219816,
"Total population","1995",1832298,
"Females 65 and over","1995",148179,
"Females Total","1995",932862,
"Males 65 and over","1995",71637,
"Males Total","1995",899436,
"Average population","1995",1827691,
"Total 0-14","1995",342782,
"Total 15-64","1995",1269700,
"Females 0-14","1995",167030,
"Females 15-64","1995",617653,
"Males 0-14","1995",175752,
"Males 15-64","1995",652047,
"Total 65 and over","1996",226552,
"Total population","1996",1823084,
"Females 65 and over","1996",150842,
"Females Total","1996",926548,
"Males 65 and over","1996",75710,
"Males Total","1996",896536,
"Average population","1996",1820140,
"Total 0-14","1996",323140,
"Total 15-64","1996",1273392,
"Females 0-14","1996",157305,
"Females 15-64","1996",618401,
"Males 0-14","1996",165835,
"Males 15-64","1996",654991,
"Total 65 and over","1997",233458,
"Total population","1997",1817196,
"Females 65 and over","1997",153372,
"Females Total","1997",921916,
"Males 65 and over","1997",80086,
"Males Total","1997",895280,
"Average population","1997",1812497.5,
"Total 0-14","1997",306858,
"Total 15-64","1997",1276880,
"Females 0-14","1997",149212,
"Females 15-64","1997",619332,
"Males 0-14","1997",157646,
"Males 15-64","1997",657548,
"Total 65 and over","1998",241154,
"Total population","1998",1807799,
"Females 65 and over","1998",156578,
"Females Total","1998",916702,
"Males 65 and over","1998",84576,
"Males Total","1998",891097,
"Average population","1998",1803244,
"Total 0-14","1998",289871,
"Total 15-64","1998",1276774,
"Females 0-14","1998",140762,
"Females 15-64","1998",619362,
"Males 0-14","1998",149109,
"Males 15-64","1998",657412,
"Total 65 and over","1999",248080,
"Total population","1999",1798689,
"Females 65 and over","1999",159443,
"Females Total","1999",911161,
"Males 65 and over","1999",88637,
"Males Total","1999",887528,
"Average population","1999",1794005.5,
"Total 0-14","1999",274247,
"Total 15-64","1999",1276362,
"Females 0-14","1999",133251,
"Females 15-64","1999",618467,
"Males 0-14","1999",140996,
"Males 15-64","1999",657895,
"Total 65 and over","2000",259238,
"Total population","2000",1789322,
"Females 65 and over","2000",164435,
"Females Total","2000",905707,
"Males 65 and over","2000",94803,
"Males Total","2000",883615,
"Average population","2000",1783000,
"Total 0-14","2000",259374,
"Total 15-64","2000",1270710,
"Females 0-14","2000",125982,
"Females 15-64","2000",615290,
"Males 0-14","2000",133392,
"Males 15-64","2000",655420,
"Total 65 and over","2001",270622,
"Total population","2001",1775703,
"Females 65 and over","2001",169794,
"Females Total","2001",898005,
"Males 65 and over","2001",100828,
"Males Total","2001",877698,
"Average population","2001",1767800,
"Total 0-14","2001",243952,
"Total 15-64","2001",1261129,
"Females 0-14","2001",118354,
"Females 15-64","2001",609857,
"Males 0-14","2001",125598,
"Males 15-64","2001",651272,
"Total 65 and over","2002",282552,
"Total population","2002",1759877,
"Females 65 and over","2002",175580,
"Females Total","2002",889648,
"Males 65 and over","2002",106972,
"Males Total","2002",870229,
"Average population","2002",1752000,
"Total 0-14","2002",228591,
"Total 15-64","2002",1248734,
"Females 0-14","2002",110855,
"Females 15-64","2002",603213,
"Males 0-14","2002",117736,
"Males 15-64","2002",645521,
"Total 65 and over","2003",294500,
"Total population","2003",1744624,
"Females 65 and over","2003",181033,
"Females Total","2003",880765,
"Males 65 and over","2003",113467,
"Males Total","2003",863859,
"Average population","2003",1738400,
"Total 0-14","2003",212741,
"Total 15-64","2003",1237383,
"Females 0-14","2003",103116,
"Females 15-64","2003",596616,
"Males 0-14","2003",109625,
"Males 15-64","2003",640767,
"Total 65 and over","2004",307586,
"Total population","2004",1732226,
"Females 65 and over","2004",187082,
"Females Total","2004",873977,
"Males 65 and over","2004",120504,
"Males Total","2004",858249,
"Average population","2004",1725900,
"Total 0-14","2004",199574,
"Total 15-64","2004",1225066,
"Females 0-14","2004",96830,
"Females 15-64","2004",590065,
"Males 0-14","2004",102744,
"Males 15-64","2004",635001,
"Total 65 and over","2005",322395,
"Total population","2005",1719653,
"Females 65 and over","2005",194343,
"Females Total","2005",867510,
"Males 65 and over","2005",128052,
"Males Total","2005",852143,
"Average population","2005",1713500,
"Total 0-14","2005",188241,
"Total 15-64","2005",1209017,
"Females 0-14","2005",91429,
"Females 15-64","2005",581738,
"Males 0-14","2005",96812,
"Males 15-64","2005",627279,
"Total 65 and over","2006",336029,
"Total population","2006",1707266,
"Females 65 and over","2006",200877,
"Females Total","2006",861049,
"Males 65 and over","2006",135152,
"Males Total","2006",846217,
"Average population","2006",1700500,
"Total 0-14","2006",178461,
"Total 15-64","2006",1192776,
"Females 0-14","2006",86693,
"Females 15-64","2006",573479,
"Males 0-14","2006",91768,
"Males 15-64","2006",619297,
"Total 65 and over","2007",348714,
"Total population","2007",1693754,
"Females 65 and over","2007",206955,
"Females Total","2007",854201,
"Males 65 and over","2007",141759,
"Males Total","2007",839553,
"Average population","2007",1686700,
"Total 0-14","2007",176917,
"Total 15-64","2007",1168123,
"Females 0-14","2007",86000,
"Females 15-64","2007",561246,
"Males 0-14","2007",90917,
"Males 15-64","2007",606877,
"Total 65 and over","2008",354915,
"Total population","2008",1679682,
"Females 65 and over","2008",209660,
"Females Total","2008",846937,
"Males 65 and over","2008",145255,
"Males Total","2008",832745,
"Average population","2008",1679682,
"Total 0-14","2008",177940,
"Total 15-64","2008",1146827,
"Females 0-14","2008",86552,
"Females 15-64","2008",550725,
"Males 0-14","2008",91388,
"Males 15-64","2008",596102,
"Total 65 and over","2009",361232,
"Total population","2009",1664356,
"Females 65 and over","2009",212361,
"Females Total","2009",839232,
"Males 65 and over","2009",148871,
"Males Total","2009",825124,
"Total 0-14","2009",180487,
"Total 15-64","2009",1122637,
"Females 0-14","2009",88039,
"Females 15-64","2009",538832,
"Males 0-14","2009",92448,
"Males 15-64","2009",583805,
"Total 65 and over","1990",1045828,
"Total population","1990",7283800,
"Females 65 and over","1990",673285,
"Females Total","1990",3757207,
"Males 65 and over","1990",372543,
"Males Total","1990",3526593,
"Average population","1990",7335528.5,
"Total 0-14","1990",1101608,
"Total 15-64","1990",5027519,
"Females 0-14","1990",535464,
"Females 15-64","1990",2468114,
"Males 0-14","1990",566144,
"Males 15-64","1990",2559405,
"Total 65 and over","1991",1169013,
"Total population","1991",7387257,
"Females 65 and over","1991",762209,
"Females Total","1991",3799200,
"Males 65 and over","1991",406804,
"Males Total","1991",3588057,
"Average population","1991",7431533,
"Total 0-14","1991",1138849,
"Total 15-64","1991",5079395,
"Females 0-14","1991",553510,
"Females 15-64","1991",2483481,
"Males 0-14","1991",585339,
"Males 15-64","1991",2595914,
"Total 65 and over","1992",1182748,
"Total population","1992",7475809,
"Females 65 and over","1992",768855,
"Females Total","1992",3839264,
"Males 65 and over","1992",413893,
"Males Total","1992",3636545,
"Average population","1992",7526670,
"Total 0-14","1992",1169657,
"Total 15-64","1992",5123404,
"Females 0-14","1992",568434,
"Females 15-64","1992",2501975,
"Males 0-14","1992",601223,
"Males 15-64","1992",2621429,
"Total 65 and over","1993",1199716,
"Total population","1993",7577531,
"Females 65 and over","1993",775394,
"Females Total","1993",3884578,
"Males 65 and over","1993",424322,
"Males Total","1993",3692953,
"Average population","1993",7612762.5,
"Total 0-14","1993",1206446,
"Total 15-64","1993",5171369,
"Females 0-14","1993",586546,
"Females 15-64","1993",2522638,
"Males 0-14","1993",619900,
"Males 15-64","1993",2648731,
"Total 65 and over","1994",1219590,
"Total population","1994",7647994,
"Females 65 and over","1994",782512,
"Females Total","1994",3921190,
"Males 65 and over","1994",437078,
"Males Total","1994",3726804,
"Average population","1994",7681678.5,
"Total 0-14","1994",1235371,
"Total 15-64","1994",5193033,
"Females 0-14","1994",600772,
"Females 15-64","1994",2537906,
"Males 0-14","1994",634599,
"Males 15-64","1994",2655127,
"Total 65 and over","1995",1235752,
"Total population","1995",7715363,
"Females 65 and over","1995",787273,
"Females Total","1995",3953520,
"Males 65 and over","1995",448479,
"Males Total","1995",3761843,
"Average population","1995",7747892.5,
"Total 0-14","1995",1260151,
"Total 15-64","1995",5219460,
"Females 0-14","1995",612506,
"Females 15-64","1995",2553741,
"Males 0-14","1995",647645,
"Males 15-64","1995",2665719,
"Total 65 and over","1996",1252345,
"Total population","1996",7780422,
"Females 65 and over","1996",792604,
"Females Total","1996",3983833,
"Males 65 and over","1996",459741,
"Males Total","1996",3796589,
"Average population","1996",7797785,
"Total 0-14","1996",1279434,
"Total 15-64","1996",5248643,
"Females 0-14","1996",621881,
"Females 15-64","1996",2569348,
"Males 0-14","1996",657553,
"Males 15-64","1996",2679295,
"Total 65 and over","1997",1262984,
"Total population","1997",7815148,
"Females 65 and over","1997",794002,
"Females Total","1997",3999570,
"Males 65 and over","1997",468982,
"Males Total","1997",3815578,
"Average population","1997",7830273,
"Total 0-14","1997",1291020,
"Total 15-64","1997",5261144,
"Females 0-14","1997",627411,
"Females 15-64","1997",2578157,
"Males 0-14","1997",663609,
"Males 15-64","1997",2682987,
"Total 65 and over","1998",1272164,
"Total population","1998",7845398,
"Females 65 and over","1998",795079,
"Females Total","1998",4013931,
"Males 65 and over","1998",477085,
"Males Total","1998",3831467,
"Average population","1998",7855619,
"Total 0-14","1998",1300679,
"Total 15-64","1998",5272555,
"Females 0-14","1998",632222,
"Females 15-64","1998",2586630,
"Males 0-14","1998",668457,
"Males 15-64","1998",2685925,
"Total 65 and over","1999",1279535,
"Total population","1999",7865840,
"Females 65 and over","1999",794767,
"Females Total","1999",4022223,
"Males 65 and over","1999",484768,
"Males Total","1999",3843617,
"Average population","1999",7882300,
"Total 0-14","1999",1306443,
"Total 15-64","1999",5279862,
"Females 0-14","1999",634890,
"Females 15-64","1999",2592566,
"Males 0-14","1999",671553,
"Males 15-64","1999",2687296,
"Total 65 and over","2000",1307280,
"Total population","2000",7898760,
"Females 65 and over","2000",804687,
"Females Total","2000",4037126,
"Males 65 and over","2000",502593,
"Males Total","2000",3861634,
"Average population","2000",7911300,
"Total 0-14","2000",1314248,
"Total 15-64","2000",5277232,
"Females 0-14","2000",638896,
"Females 15-64","2000",2593543,
"Males 0-14","2000",675352,
"Males 15-64","2000",2683689,
"Total 65 and over","2001",1340128,
"Total population","2001",7926193,
"Females 65 and over","2001",817130,
"Females Total","2001",4050197,
"Males 65 and over","2001",522998,
"Males Total","2001",3875996,
"Average population","2001",7939600,
"Total 0-14","2001",1316051,
"Total 15-64","2001",5270014,
"Females 0-14","2001",639532,
"Females 15-64","2001",2593535,
"Males 0-14","2001",676519,
"Males 15-64","2001",2676479,
"Total 65 and over","2002",1376082,
"Total population","2002",7956416,
"Females 65 and over","2002",831159,
"Females Total","2002",4063108,
"Males 65 and over","2002",544923,
"Males Total","2002",3893308,
"Average population","2002",7969600,
"Total 0-14","2002",1311210,
"Total 15-64","2002",5269124,
"Females 0-14","2002",637764,
"Females 15-64","2002",2594185,
"Males 0-14","2002",673446,
"Males 15-64","2002",2674939,
"Total 65 and over","2003",1413555,
"Total population","2003",7980472,
"Females 65 and over","2003",845581,
"Females Total","2003",4073516,
"Males 65 and over","2003",567974,
"Males Total","2003",3906956,
"Average population","2003",7986900,
"Total 0-14","2003",1300632,
"Total 15-64","2003",5266285,
"Females 0-14","2003",633052,
"Females 15-64","2003",2594883,
"Males 0-14","2003",667580,
"Males 15-64","2003",2671402,
"Total 65 and over","2004",1458681,
"Total population","2004",7993415,
"Females 65 and over","2004",864178,
"Females Total","2004",4078202,
"Males 65 and over","2004",594503,
"Males Total","2004",3915213,
"Average population","2004",7997200,
"Total 0-14","2004",1282270,
"Total 15-64","2004",5252464,
"Females 0-14","2004",624478,
"Females 15-64","2004",2589546,
"Males 0-14","2004",657792,
"Males 15-64","2004",2662918,
"Total 65 and over","2005",1507482,
"Total population","2005",8000909,
"Females 65 and over","2005",884983,
"Females Total","2005",4081534,
"Males 65 and over","2005",622499,
"Males Total","2005",3919375,
"Average population","2005",7997400,
"Total 0-14","2005",1263997,
"Total 15-64","2005",5229430,
"Females 0-14","2005",615886,
"Females 15-64","2005",2580665,
"Males 0-14","2005",648111,
"Males 15-64","2005",2648765,
"Total 65 and over","2006",1555647,
"Total population","2006",7993946,
"Females 65 and over","2006",905252,
"Females Total","2006",4075988,
"Males 65 and over","2006",650395,
"Males Total","2006",3917958,
"Average population","2006",7988300,
"Total 0-14","2006",1236981,
"Total 15-64","2006",5201318,
"Females 0-14","2006",602982,
"Females 15-64","2006",2567754,
"Males 0-14","2006",633999,
"Males 15-64","2006",2633564,
"Total 65 and over","2007",1597130,
"Total population","2007",7982685,
"Females 65 and over","2007",922440,
"Females Total","2007",4067900,
"Males 65 and over","2007",674690,
"Males Total","2007",3914785,
"Average population","2007",7977200,
"Total 0-14","2007",1210734,
"Total 15-64","2007",5174821,
"Females 0-14","2007",590005,
"Females 15-64","2007",2555455,
"Males 0-14","2007",620729,
"Males 15-64","2007",2619366,
"Total 65 and over","2008",1618566,
"Total population","2008",7971684,
"Females 65 and over","2008",929311,
"Females Total","2008",4060139,
"Males 65 and over","2008",689255,
"Males Total","2008",3911545,
"Average population","2008",7971684,
"Total 0-14","2008",1185270,
"Total 15-64","2008",5167848,
"Females 0-14","2008",577221,
"Females 15-64","2008",2553607,
"Males 0-14","2008",608049,
"Males 15-64","2008",2614241,
"Total 65 and over","2009",1637817,
"Total population","2009",7947244,
"Females 65 and over","2009",935117,
"Females Total","2009",4046192,
"Males 65 and over","2009",702700,
"Males Total","2009",3901052,
"Total 0-14","2009",1159879,
"Total 15-64","2009",5149548,
"Females 0-14","2009",565225,
"Females 15-64","2009",2545850,
"Males 0-14","2009",594654,
"Males 15-64","2009",2603698,
"Total 65 and over","1990",2334193,
"Total population","1990",17103584,
"Females 65 and over","1990",1526609,
"Females Total","1990",8876473,
"Males 65 and over","1990",807584,
"Males Total","1990",8227111,
"Average population","1990",17226598.5,
"Total 0-14","1990",2573602,
"Total 15-64","1990",11961119,
"Females 0-14","1990",1253603,
"Females 15-64","1990",5918234,
"Males 0-14","1990",1319999,
"Males 15-64","1990",6042885,
"Total 65 and over","1991",2611474,
"Total population","1991",17349613,
"Females 65 and over","1991",1727976,
"Females Total","1991",8982166,
"Males 65 and over","1991",883498,
"Males Total","1991",8367447,
"Average population","1991",17429743,
"Total 0-14","1991",2676591,
"Total 15-64","1991",12061548,
"Females 0-14","1991",1303462,
"Females 15-64","1991",5950728,
"Males 0-14","1991",1373129,
"Males 15-64","1991",6110820,
"Total 65 and over","1992",2651471,
"Total population","1992",17509873,
"Females 65 and over","1992",1745935,
"Females Total","1992",9048445,
"Males 65 and over","1992",905536,
"Males Total","1992",8461428,
"Average population","1992",17594523.5,
"Total 0-14","1992",2746994,
"Total 15-64","1992",12111408,
"Females 0-14","1992",1337788,
"Females 15-64","1992",5964722,
"Males 0-14","1992",1409206,
"Males 15-64","1992",6146686,
"Total 65 and over","1993",2697012,
"Total population","1993",17679174,
"Females 65 and over","1993",1762496,
"Females Total","1993",9117173,
"Males 65 and over","1993",934516,
"Males Total","1993",8562001,
"Average population","1993",17719243.5,
"Total 0-14","1993",2815331,
"Total 15-64","1993",12166831,
"Females 0-14","1993",1371466,
"Females 15-64","1993",5983211,
"Males 0-14","1993",1443865,
"Males 15-64","1993",6183620,
"Total 65 and over","1994",2748299,
"Total population","1994",17759313,
"Females 65 and over","1994",1777939,
"Females Total","1994",9151813,
"Males 65 and over","1994",970360,
"Males Total","1994",8607500,
"Average population","1994",17787696,
"Total 0-14","1994",2860272,
"Total 15-64","1994",12150742,
"Females 0-14","1994",1393603,
"Females 15-64","1994",5980271,
"Males 0-14","1994",1466669,
"Males 15-64","1994",6170471,
"Total 65 and over","1995",2797421,
"Total population","1995",17816079,
"Females 65 and over","1995",1792235,
"Females Total","1995",9176338,
"Males 65 and over","1995",1005186,
"Males Total","1995",8639741,
"Average population","1995",17854562,
"Total 0-14","1995",2890162,
"Total 15-64","1995",12128496,
"Females 0-14","1995",1408053,
"Females 15-64","1995",5976050,
"Males 0-14","1995",1482109,
"Males 15-64","1995",6152446,
"Total 65 and over","1996",2848065,
"Total population","1996",17893045,
"Females 65 and over","1996",1807736,
"Females Total","1996",9208834,
"Males 65 and over","1996",1040329,
"Males Total","1996",8684211,
"Average population","1996",17920380,
"Total 0-14","1996",2910379,
"Total 15-64","1996",12134601,
"Females 0-14","1996",1418284,
"Females 15-64","1996",5982814,
"Males 0-14","1996",1492095,
"Males 15-64","1996",6151787,
"Total 65 and over","1997",2878321,
"Total population","1997",17947715,
"Females 65 and over","1997",1812537,
"Females Total","1997",9232494,
"Males 65 and over","1997",1065784,
"Males Total","1997",8715221,
"Average population","1997",17961101,
"Total 0-14","1997",2927748,
"Total 15-64","1997",12141646,
"Females 0-14","1997",1426893,
"Females 15-64","1997",5993064,
"Males 0-14","1997",1500855,
"Males 15-64","1997",6148582,
"Total 65 and over","1998",2903325,
"Total population","1998",17974487,
"Females 65 and over","1998",1814940,
"Females Total","1998",9245106,
"Males 65 and over","1998",1088385,
"Males Total","1998",8729381,
"Average population","1998",17975001.5,
"Total 0-14","1998",2936033,
"Total 15-64","1998",12135129,
"Females 0-14","1998",1431308,
"Females 15-64","1998",5998858,
"Males 0-14","1998",1504725,
"Males 15-64","1998",6136271,
"Total 65 and over","1999",2923852,
"Total population","1999",17975516,
"Females 65 and over","1999",1814640,
"Females Total","1999",9241703,
"Males 65 and over","1999",1109212,
"Males Total","1999",8733813,
"Average population","1999",17987658,
"Total 0-14","1999",2932878,
"Total 15-64","1999",12118786,
"Females 0-14","1999",1429360,
"Females 15-64","1999",5997703,
"Males 0-14","1999",1503518,
"Males 15-64","1999",6121083,
"Total 65 and over","2000",2986009,
"Total population","2000",17999800,
"Females 65 and over","2000",1836230,
"Females Total","2000",9250010,
"Males 65 and over","2000",1149779,
"Males Total","2000",8749790,
"Average population","2000",17999900,
"Total 0-14","2000",2935741,
"Total 15-64","2000",12078050,
"Females 0-14","2000",1430943,
"Females 15-64","2000",5982837,
"Males 0-14","2000",1504798,
"Males 15-64","2000",6095213,
"Total 65 and over","2001",3057050,
"Total population","2001",18009865,
"Females 65 and over","2001",1863137,
"Females Total","2001",9253209,
"Males 65 and over","2001",1193913,
"Males Total","2001",8756656,
"Average population","2001",18027000,
"Total 0-14","2001",2927246,
"Total 15-64","2001",12025569,
"Females 0-14","2001",1426752,
"Females 15-64","2001",5963320,
"Males 0-14","2001",1500494,
"Males 15-64","2001",6062249,
"Total 65 and over","2002",3133563,
"Total population","2002",18052092,
"Females 65 and over","2002",1892863,
"Females Total","2002",9269740,
"Males 65 and over","2002",1240700,
"Males Total","2002",8782352,
"Average population","2002",18062900,
"Total 0-14","2002",2908428,
"Total 15-64","2002",12010101,
"Females 0-14","2002",1417324,
"Females 15-64","2002",5959553,
"Males 0-14","2002",1491104,
"Males 15-64","2002",6050548,
"Total 65 and over","2003",3209210,
"Total population","2003",18076355,
"Females 65 and over","2003",1922253,
"Females Total","2003",9277682,
"Males 65 and over","2003",1286957,
"Males Total","2003",8798673,
"Average population","2003",18078000,
"Total 0-14","2003",2875768,
"Total 15-64","2003",11991377,
"Females 0-14","2003",1401768,
"Females 15-64","2003",5953661,
"Males 0-14","2003",1474000,
"Males 15-64","2003",6037716,
"Total 65 and over","2004",3291750,
"Total population","2004",18079686,
"Females 65 and over","2004",1955741,
"Females Total","2004",9276568,
"Males 65 and over","2004",1336009,
"Males Total","2004",8803118,
"Average population","2004",18077500,
"Total 0-14","2004",2828849,
