"Variable","Time","Value","Flags"
"Females 0-14","1998",855444,
"Females 15-64","1998",3473761,
"Males 0-14","1998",902230,
"Males 15-64","1998",3593179,
"Total 65 and over","1999",1589887,
"Total population","1999",10426040,
"Females 65 and over","1999",982309,
"Females Total","1999",5320507,
"Males 65 and over","1999",607578,
"Males Total","1999",5105533,
"Average population","1999",10450986,
"Total 0-14","1999",1758722,
"Total 15-64","1999",7077431,
"Females 0-14","1999",855709,
"Females 15-64","1999",3482489,
"Males 0-14","1999",903013,
"Males 15-64","1999",3594942,
"Total 65 and over","2000",1624900,
"Total population","2000",10475932,
"Females 65 and over","2000",994715,
"Females Total","2000",5343567,
"Males 65 and over","2000",630185,
"Males Total","2000",5132365,
"Average population","2000",10492600,
"Total 0-14","2000",1762397,
"Total 15-64","2000",7088635,
"Females 0-14","2000",857527,
"Females 15-64","2000",3491325,
"Males 0-14","2000",904870,
"Males 15-64","2000",3597310,
"Total 65 and over","2001",1668953,
"Total population","2001",10524415,
"Females 65 and over","2001",1011726,
"Females Total","2001",5367007,
"Males 65 and over","2001",657227,
"Males Total","2001",5157408,
"Average population","2001",10560800,
"Total 0-14","2001",1759270,
"Total 15-64","2001",7096192,
"Females 0-14","2001",856148,
"Females 15-64","2001",3499133,
"Males 0-14","2001",903122,
"Males 15-64","2001",3597059,
"Total 65 and over","2002",1718379,
"Total population","2002",10600906,
"Females 65 and over","2002",1031874,
"Females Total","2002",5402850,
"Males 65 and over","2002",686505,
"Males Total","2002",5198056,
"Average population","2002",10631000,
"Total 0-14","2002",1752873,
"Total 15-64","2002",7129654,
"Females 0-14","2002",853020,
"Females 15-64","2002",3517956,
"Males 0-14","2002",899853,
"Males 15-64","2002",3611698,
"Total 65 and over","2003",1768480,
"Total population","2003",10661320,
"Females 65 and over","2003",1051904,
"Females Total","2003",5431086,
"Males 65 and over","2003",716576,
"Males Total","2003",5230234,
"Average population","2003",10676900,
"Total 0-14","2003",1740197,
"Total 15-64","2003",7152643,
"Females 0-14","2003",847132,
"Females 15-64","2003",3532050,
"Males 0-14","2003",893065,
"Males 15-64","2003",3620593,
"Total 65 and over","2004",1823482,
"Total population","2004",10692556,
"Females 65 and over","2004",1074845,
"Females Total","2004",5445272,
"Males 65 and over","2004",748637,
"Males Total","2004",5247284,
"Average population","2004",10705000,
"Total 0-14","2004",1714728,
"Total 15-64","2004",7154346,
"Females 0-14","2004",834210,
"Females 15-64","2004",3536217,
"Males 0-14","2004",880518,
"Males 15-64","2004",3618129,
"Total 65 and over","2005",1889959,
"Total population","2005",10717419,
"Females 65 and over","2005",1104608,
"Females Total","2005",5457236,
"Males 65 and over","2005",785351,
"Males Total","2005",5260183,
"Average population","2005",10726600,
"Total 0-14","2005",1689798,
"Total 15-64","2005",7137662,
"Females 0-14","2005",821805,
"Females 15-64","2005",3530823,
"Males 0-14","2005",867993,
"Males 15-64","2005",3606839,
"Total 65 and over","2006",1953914,
"Total population","2006",10735701,
"Females 65 and over","2006",1133033,
"Females Total","2006",5464795,
"Males 65 and over","2006",820881,
"Males Total","2006",5270906,
"Average population","2006",10737200,
"Total 0-14","2006",1657133,
