"GENESIS-Tabelle: Tempor�r";;;;;
"Arbeitslose, Arbeitslosenquoten, Gemeldete Stellen:";;;;;
"Bundesl�nder, Jahre";;;;;
"Arbeitsmarktstatistik der Bundesagentur f�r Arbeit";;;;;
;;"Arbeitslose";"Arbeitslosenquote aller zivilen Erwerbspersonen";"Arbeitslosenquote d. abh�ngigen ziv. Erwerbspers.";"Gemeldete Stellen"
;;"Anzahl";"Prozent";"Prozent";"Anzahl"
"Sachsen-Anhalt";1991;167127;-0;"10,3";5372
"Sachsen-Anhalt";1992;217474;-0;"15,3";6240
"Sachsen-Anhalt";1993;224735;-0;"17,2";7070
"Sachsen-Anhalt";1994;225435;"16,7";"17,6";9800
"Sachsen-Anhalt";1995;208149;"15,7";"16,5";9779
"Sachsen-Anhalt";1996;234451;"17,7";"18,8";11190
"Sachsen-Anhalt";1997;270444;"20,3";"21,7";12418
"Sachsen-Anhalt";1998;272209;"20,4";"21,7";16308
"Sachsen-Anhalt";1999;272203;"20,3";"21,7";13192
"Sachsen-Anhalt";2000;272867;"20,2";"21,4";7683
"Sachsen-Anhalt";2001;264557;"19,7";"20,9";8933
"Sachsen-Anhalt";2002;260465;"19,6";"20,9";9415
"Sachsen-Anhalt";2003;268264;"20,5";"21,8";7027
"Sachsen-Anhalt";2004;262763;"20,3";"21,7";4628
"Sachsen-Anhalt";2005;258527;"20,2";"21,7";5196
"Sachsen-Anhalt";2006;231932;"18,3";"19,9";8788
"Sachsen-Anhalt";2007;201247;"15,9";"17,4";8972
"Sachsen-Anhalt";2008;174541;"13,9";"15,2";7954
"Sachsen-Anhalt";2009;167676;"13,6";"14,8";7538
"Sachsen-Anhalt";2010;151277;"12,5";"13,5";8323
"Schleswig-Holstein";1991;80524;-0;"7,3";11044
"Schleswig-Holstein";1992;80737;-0;"7,2";12471
"Schleswig-Holstein";1993;93452;-0;"8,3";10566
"Schleswig-Holstein";1994;102287;"8,1";"9,0";10646
"Schleswig-Holstein";1995;102193;"8,1";"9,1";11954
"Schleswig-Holstein";1996;113083;"8,9";"10,0";11537
"Schleswig-Holstein";1997;126844;"9,9";"11,2";10829
"Schleswig-Holstein";1998;128434;"10,0";"11,2";11666
"Schleswig-Holstein";1999;122123;"9,4";"10,6";13711
"Schleswig-Holstein";2000;114372;"8,5";"9,5";12868
"Schleswig-Holstein";2001;116194;"8,4";"9,4";12327
"Schleswig-Holstein";2002;121630;"8,7";"9,8";11770
"Schleswig-Holstein";2003;136139;"9,7";"10,9";8096
"Schleswig-Holstein";2004;137808;"9,8";"11,1";6246
"Schleswig-Holstein";2005;161524;"11,6";"13,0";7609
"Schleswig-Holstein";2006;140824;"10,0";"11,3";10835
"Schleswig-Holstein";2007;119001;"8,4";"9,5";12779
"Schleswig-Holstein";2008;107260;"7,6";"8,6";11791
"Schleswig-Holstein";2009;110326;"7,8";"8,8";9768
"Schleswig-Holstein";2010;107119;"7,5";"8,5";11601
"Th�ringen";1991;147963;-0;"10,2";5910
"Th�ringen";1992;192748;-0;"15,4";5422
"Th�ringen";1993;192939;-0;"16,3";5028
"Th�ringen";1994;190405;"15,6";"16,5";6308
"Th�ringen";1995;172149;"14,1";"15,0";8442
"Th�ringen";1996;191013;"15,6";"16,7";9930
"Th�ringen";1997;217675;"17,8";"19,1";9760
